building_type,dwelling_type,period_built,inferred_floor_area_m2,inferred_ber,energy_kwh_per_m2_year,inferred_fossil_fuel_mwh_per_year,inferred_electricity_mwh_per_year,inferred_energy_mwh_per_year,SMALL_AREA_2011,COUNTYNAME,ID,Property Use,Benchmark,Industrial,estimated_fossil_fuel_mwh_per_year,estimated_electricity_mwh_per_year,latitude,longitude,address,metered_fossil_fuel_mwh_per_year,metered_electricity_mwh_per_year
commercial,,,26023,,,4163.68,910.805,5074.485,,Dublin 24,5001929,DISTRIBUTION CENTRE,Storage facility,,4163.68,910.805,53.29334384,-6.416002254,,,
commercial,,,11459,,,3781.47,1203.195,4984.665,,Dublin 4,843900,HOTEL,Hotel,,3781.47,1203.195,53.3333215,-6.246700338,,,
public_sector,,,,,,2507.99476,2463.139,4971.13376,,Dublin 24,,,Schools and seasonal public buildings,,,,53.29101685,-6.363056129,institute of technology tallaght main building dublin 24 ireland,2507.99476,2463.139
commercial,,,25487,,,4077.92,892.045,4969.965,,Dublin 15,2171166,DISTRIBUTION CENTRE,Storage facility,,4077.92,892.045,53.41741393,-6.413423219,,,
commercial,,,23060,,,2767.2,2190.7,4957.9,,Dublin 4,2210944,OFFICE (3RD GENERATION),General office,,2767.2,2190.7,53.3397878,-6.236927029,,,
commercial,,,11280,,,3722.4,1184.4,4906.8,,Dublin 2,1544820,HOTEL,Hotel,,3722.4,1184.4,53.33320642,-6.264356688,,,
commercial,,,11251,,,3712.83,1181.355,4894.185,,Co. Dublin,292821,HOTEL,Hotel,,3712.83,1181.355,53.42769853,-6.233963502,,,
commercial,,,11172,,,3686.76,1173.06,4859.82,,Dublin 2,1136886,HOTEL,Hotel,,3686.76,1173.06,53.33117779,-6.259334674,,,
public_sector,,,,,,4857.34036,0,4857.34036,,Dublin 2,,,Schools and seasonal public buildings,,,,53.3434703,-6.2461704,trinity college dublin biomedical sciences institute pearse street chp dublin 2 ireland,4857.34036,0
commercial,,,24820,,,3971.2,868.7,4839.9,,Dublin 17,733237,WAREHOUSE,Storage facility,,3971.2,868.7,53.40307426,-6.229439294,,,
public_sector,,,,,,3512.2978,1282.642,4794.9398,,Dublin 6,,,Schools and seasonal public buildings,,,,53.31776934,-6.259731031,trinity college dublin trinity hall dublin 6 ireland,3512.2978,1282.642
public_sector,,,,,,4750.80604,0,4750.80604,,Dublin 2,,,Other (M&R),,,,53.3428316,-6.2656414,office of public works dublin castle dublin 2 ireland,4750.80604,0
industrial,,,5054,,,2609.579,2124.691,4734.27,,Dublin 15,570301,FACTORY (PHARMACEUTICAL),Laboratories,1,4866.29444,2982.56756,53.4110647,-6.423549662,"Damastown Mulhaddart, Dublin 15",2609.579,2124.691
commercial,,,7848,,,3453.12,1255.68,4708.8,,Dublin 9,2172520,SPORTS & LEISURE CENTRE,Fitness and health centre,,3453.12,1255.68,53.40885368,-6.242212137,,,
commercial,,,10795,,,3562.35,1133.475,4695.825,,Dublin 1,2163773,HOTEL,Hotel,,3562.35,1133.475,53.34802521,-6.243419977,,,
commercial,,,23857,,,3817.12,834.995,4652.115,,Dublin 7,673024,BUS DEPOT,Storage facility,,3817.12,834.995,53.3552149,-6.274409319,,,
commercial,,,10602,,,3498.66,1113.21,4611.87,,Dublin 15,2178871,HOTEL,Hotel,,3498.66,1113.21,53.36605365,-6.389707543,,,
public_sector,,,,,,4605.67063,0,4605.67063,,Dublin 8,,,Hospital (clinical and research),,,,53.3403134,-6.295352,saint jamess hospital phase 1h dublin 8 ireland,4605.67063,0
industrial,,,11306,,,2845.94632,1744.28968,4590.236,,Co. Dublin,359925,FACTORY,Manufacturing (general),1,2845.94632,1744.28968,53.45633949,-6.210100423,,,
commercial,,,10465,,,3453.45,1098.825,4552.275,,Co. Dublin,511921,HOTEL,Hotel,,3453.45,1098.825,53.30511754,-6.205945199,,,
industrial,,,2927,,,2818.29122,1727.33978,4545.631,,Dublin 13,381289,FACTORY (PHARMACEUTICAL),Laboratories,1,2818.29122,1727.33978,53.39394305,-6.149810574,,,
commercial,,,21085,,,2530.2,2003.075,4533.275,,Co. Dublin,359820,OFFICE (BUSINESS PARK),General office,,2530.2,2003.075,53.46003524,-6.211531844,,,
commercial,,,10345,,,3413.85,1086.225,4500.075,,Dublin 1,766689,HOTEL,Hotel,,3413.85,1086.225,53.35247902,-6.260013427,,,
commercial,,,23016,,,3682.56,805.56,4488.12,,Dublin 15,2165874,DISTRIBUTION CENTRE,Storage facility,,3682.56,805.56,53.41406388,-6.367811591,,,
commercial,,,10275,,,3390.75,1078.875,4469.625,,Dublin 8,2193676,HOTEL,Hotel,,3390.75,1078.875,53.34109406,-6.267982799,,,
public_sector,,,,,,4456.56281,0,4456.56281,,Dublin 6,,,Other (M&R),,,,53.31776934,-6.259731031,defence forces cathal brugha barracks harolds cross dublin 6 ireland,4456.56281,0
commercial,,,20643,,,2477.16,1961.085,4438.245,,Dublin 7,2204665,OFFICE (3RD GENERATION),General office,,2477.16,1961.085,53.34771422,-6.275233954,,,
commercial,,,20602,,,2472.24,1957.19,4429.43,,Dublin 18,2170343,OFFICE (3RD GENERATION),General office,,2472.24,1957.19,53.2674283,-6.199287904,,,
industrial,,,10879,,,2738.46188,1678.41212,4416.874,,Dublin 11,2184318,FACTORY,Manufacturing (general),1,2738.46188,1678.41212,53.39478209,-6.296698543,,,
commercial,,,10143,,,3347.19,1065.015,4412.205,,Dublin 22,5001878,HOTEL,Hotel,,3347.19,1065.015,53.31561597,-6.384232448,,,
industrial,,,7227,,,46.6204,4358,4404.6204,,Dublin 15,2111562,FACTORY (PHARMACEUTICAL),Laboratories,1,6958.58922,4264.94178,53.41105462,-6.414494336,"Damastown Industrial Estate, Mulhaddart Dublin 15",46.6204,4358
commercial,,,20344,,,2441.28,1932.68,4373.96,,Dublin 2,2191920,OFFICE (3RD GENERATION),General office,,2441.28,1932.68,53.33340384,-6.261650098,,,
commercial,,,17773,,,3021.41,1244.11,4265.52,,Dublin 11,2201629,DIY SUPERSTORE,Large non-food shop,,3021.41,1244.11,53.40705038,-6.277077199,,,
industrial,,,2746,,,2644.01356,1620.52444,4264.538,,Co. Dublin,361519,FACTORY (CHEMICAL),Laboratories,1,2644.01356,1620.52444,53.46084423,-6.223263244,,,
industrial,,,10995,,,2638.1403,1616.9247,4255.065,,Dublin 18,496737,GARAGE,Engineering,1,2638.1403,1616.9247,53.26041068,-6.150002013,,,
commercial,,,9740,,,3214.2,1022.7,4236.9,,Dublin 2,2151135,HOTEL,Hotel,,3214.2,1022.7,53.34525967,-6.254198368,,,
commercial,,,21585,,,3453.6,755.475,4209.075,,Dublin 24,477958,WAREHOUSE,Storage facility,,3453.6,755.475,53.29386371,-6.349787269,,,
public_sector,,,,,,0,4204.12875,4204.12875,,Dublin 11,,,General office,,,,53.3981716,-6.2990497,department of finance jamestown business park unit 9 dublin 11 ireland,0,4204.12875
public_sector,,,,,,0,4197.433,4197.433,,Dublin 1,,,Hospital (clinical and research),,,,53.35311837,-6.254685299,childrens university hospital sub station cuh temple saint dublin 1 ireland,0,4197.433
commercial,,,9625,,,3176.25,1010.625,4186.875,,Dublin 13,351593,HOTEL,Hotel,,3176.25,1010.625,53.42961877,-6.126138687,,,
commercial,,,9624,,,3175.92,1010.52,4186.44,,Dublin 17,2180573,HOTEL,Hotel,,3175.92,1010.52,53.40370861,-6.179702718,,,
industrial,,,10301,,,2592.96772,1589.23828,4182.206,,Co. Dublin,331332,FACTORY,Manufacturing (general),1,2592.96772,1589.23828,53.27832205,-6.159867435,,,
public_sector,,,,,,3276.398645,904.504,4180.902645,,Co. Dublin,,,Hospital (clinical and research),,,,53.53350255,-6.270785045,house saint itas hospital co dublin ireland,3276.398645,904.504
public_sector,,,,,,4178.19569,0,4178.19569,,Dublin 10,,,Hospital (clinical and research),,,,53.3426453,-6.358787,house cherry orchard hospital ballyfermot road ballyfermot dublin 10 ireland,4178.19569,0
public_sector,,,,,,0,4164.635,4164.635,,Dublin 15,,,Other (M&R),,,,53.3910621,-6.384261,sport ireland national aquatic centre dublin 15 ireland,0,4164.635
commercial,,,9559,,,3154.47,1003.695,4158.165,,Dublin 15,2187126,HOTEL,Hotel,,3154.47,1003.695,53.41603765,-6.379785425,,,
public_sector,,,,,,4120.52452,0,4120.52452,,Dublin 8,,,Hospital (clinical and research),,,,53.3345547,-6.288261613,coombe women & infants university hospital rear car park number 4 dublin 8 ireland,4120.52452,0
commercial,,,21102,,,3376.32,738.57,4114.89,,Dublin 11,1545924,WAREHOUSE,Storage facility,,3376.32,738.57,53.40313359,-6.353566119,,,
industrial,,,10128,,,2549.42016,1562.54784,4111.968,,Co. Dublin,2197280,FACTORY,Manufacturing (general),1,2549.42016,1562.54784,53.60019239,-6.197649245,,,
commercial,,,21065,,,3370.4,737.275,4107.675,,Dublin 22,2144659,WAREHOUSE,Storage facility,,3370.4,737.275,53.32084148,-6.441924458,,,
commercial,,,9416,,,3107.28,988.68,4095.96,,Dublin 1,856658,HOTEL,Hotel,,3107.28,988.68,53.35159081,-6.262998693,,,
industrial,,,9737,,,2967,1115,4082,,Dublin 12,406817,FACTORY,Manufacturing (general),1,2450.99764,1502.22436,53.32905528,-6.354294095,"Kayfoam Woolfson
Bluebell Industrial Estate,
Naas Road,
Dublin 12
D12 PKRl",2967,1115
